,id,created_at,screen_name,retweet_count,favorite_count,text
2743,1273149840512430083,2020-06-17 07:05:50,EllyanneCGithae,20,0,In Afghanistan solar energy powering fight Zero-carbon food carts repurp
2748,1273149700502360067,2020-06-17 07:05:17,EllyanneCGithae,85,0,Growing demand food existing farming methods may lead intense competition natural resources amp land
2768,1272930697368555520,2020-06-16 16:35:02,EllyanneCGithae,10,0,`` We need invest science fundamental applied sustainable production health amp food focusing technological
2894,1272711730729271298,2020-06-16 02:04:57,EllyanneCGithae,33,0,Soil erosion poses major threat global food security achievement Ahead
2917,1272573567948001281,2020-06-15 16:55:56,EllyanneCGithae,38,0,As contain impacts food agriculture sectors must also contain misinformation.Learn
2936,1272573080544706563,2020-06-15 16:54:00,EllyanneCGithae,27,0,We congratulate Leah Naumgerea providing food children amp families Uganda part
2938,1272573056234541056,2020-06-15 16:53:54,EllyanneCGithae,99,0,Plants make food eat produce air breathe How support
2979,1271893029201330178,2020-06-13 19:51:43,EllyanneCGithae,35,0,This much food waste every year Unacceptable When food reaches tables let 's treat
2981,1271892859894075392,2020-06-13 19:51:03,EllyanneCGithae,105,0,Our food systems failing us And making things worse.We must invest future amp transform food systems
3075,1271158187572461569,2020-06-11 19:11:43,EllyanneCGithae,9,0,We 're celebrating amp Faith said `` give music put food I 'll take side culture I
3129,1271009429350223873,2020-06-11 09:20:36,EllyanneCGithae,6,0,Science magic real high-level discussion reimagines future food response
93,1278579885439619073,2020-07-02 06:42:54,Gibson_Ptoo,12,0,AFRICA Smallholders continue play key role frontline food security hence need strateg
109,1269483694819024896,2020-06-07 04:17:53,Gibson_Ptoo,6,0,On food safety concerned aware consumers selecting foods groceries Food display
111,1269483125685526528,2020-06-07 04:15:37,Gibson_Ptoo,7,0,Food hygiene important players value chain Our food system clearly defined food
112,1269482962531299329,2020-06-07 04:14:58,Gibson_Ptoo,1,2,We n't go cheap food look fresh/green check source possible go orga
118,1265581952326938624,2020-05-27 09:53:45,Gibson_Ptoo,1,0,How short food chain The shorter food chain beneficial chain everyt
129,1261977389216792576,2020-05-17 11:10:30,Gibson_Ptoo,1,0,There problem food shortage The government must look ways fill gap cross border traders l
137,1257397872003334146,2020-05-04 19:53:08,Gibson_Ptoo,17,0,How harness potential innovation improve agricultural food systems sustainable way Join
155,1247903916257210369,2020-04-08 15:07:33,Gibson_Ptoo,0,2,With system-level thinking imagine increase food nutrition security climate resilience inclusi
157,1247556842416418819,2020-04-07 16:08:24,Gibson_Ptoo,7,0,Innovations amp Ideas Future Agro Challenge calling Agripreneurs contributing food security amp economic
458,1265220633320984576,2020-05-26 09:58:00,Fatuma_Hajji,0,0,If I cook food n one cooking batters You deserve none
490,1262683239870758912,2020-05-19 09:55:18,Fatuma_Hajji,0,0,Spicy Garlic Shrimp Rice lets enjoy good food cancel negative vibes
496,1260545588904460291,2020-05-13 12:21:02,Fatuma_Hajji,0,1,food good food life lets continue fight fight
532,1255752602089779200,2020-04-30 06:55:25,Fatuma_Hajji,0,0,Beating cold fresh cup Mocha contemplating good food indulge today
82,1270682748953427968,2020-06-10 11:42:30,SmartSoko_link,2,0,Market Update The industry reach export target agricultural raw materials foods worth
84,1269607869541945344,2020-06-07 12:31:18,SmartSoko_link,6,0,hygienic food handling taking necessary precautions measures.Five key elements ensure food
85,1269607590406881285,2020-06-07 12:30:12,SmartSoko_link,0,2,As far shared responsibility order attain food safety open air markets target sh
86,1269484306424041472,2020-06-07 04:20:19,SmartSoko_link,1,0,`` Let food medicine medicine food ''
87,1269484279102353408,2020-06-07 04:20:12,SmartSoko_link,1,0,We n't go cheap food look fresh/green check source possible go organic produc
88,1269339490574884865,2020-06-06 18:44:52,SmartSoko_link,0,2,Are consumers willing pay quality safe food without chemicals
89,1269338372344025088,2020-06-06 18:40:25,SmartSoko_link,6,12,On food safety concerned aware consumers selecting foods groceries Food dis
90,1269142535038996481,2020-06-06 05:42:14,SmartSoko_link,7,14,Food hygiene important players value chain Our food system clearly defined fo
91,1268956893747306498,2020-06-05 17:24:34,SmartSoko_link,10,0,As Celebrate We call upon producers distributers food markets consumers government jo
92,1268956437142736897,2020-06-05 17:22:45,SmartSoko_link,14,0,World Food Safety Day WFSD This Sunday th June Join us KTN FARMERS TV Follow Our Social
93,1268768796376027136,2020-06-05 04:57:08,SmartSoko_link,13,0,World Food Safety Day celebrated th June promote global food safety awareness call upon gover
98,1267372388624273408,2020-06-01 08:28:18,SmartSoko_link,5,0,An interesting competition youth interested landscapes food amp agriculture
104,1265535507754299392,2020-05-27 06:49:12,SmartSoko_link,1,3,How short food chain The shorter food chain beneficial chain ev
123,1261976210638286849,2020-05-17 11:05:49,SmartSoko_link,1,1,There problem food shortage The government must look ways fill gap cross border trade
137,1256181692508798977,2020-05-01 11:20:28,SmartSoko_link,14,0,Funding The Feed Future Innovation Lab Food Safety seeking applications researchers projects
144,1252819000188268544,2020-04-22 04:38:20,SmartSoko_link,4,12,Without agriculture nutritious food physical social economic development achieved A day wi
115,1275790967275237376,2020-06-24 14:00:44,Kendi_Nkonge,7,0,Dr. Elizabeth Kimani-Murage speaking -led Food Vision Prize Nairobi impact COVID-19
117,1275771455922454528,2020-06-24 12:43:12,Kendi_Nkonge,3,0,Catch today PM EAT fellow panelists conversation reimagining food systems future
151,1272083163867742209,2020-06-14 08:27:15,Kendi_Nkonge,7,0,Food Security Urban Poor During
239,1256495431791624192,2020-05-02 08:07:10,Kendi_Nkonge,53,0,We excited announce upcoming webinar tackling food insecurity Kenya focus urban poo
256,1253710711051730944,2020-04-24 15:41:40,Kendi_Nkonge,7,0,Video diaries Nairobi Navigating food insecurity times COVID-19 pandemic TMG-Think Tank Sustainabili
196,1269661437129097217,2020-06-07 16:04:10,HarlowFarms,15,0,From farmer 's field dinning table role play order ensure food safe beca
197,1267847528113979393,2020-06-02 15:56:20,HarlowFarms,4,0,Without value addition food future secured committed adding value agro prod
198,1267057012900315136,2020-05-31 11:35:07,HarlowFarms,1,9,As part effort ensure quality safe food production increased employment opportunites made ava
199,1267056022474063874,2020-05-31 11:31:11,HarlowFarms,7,0,As part effort ensure quality safe food production increased employment opportunites made
226,1279009944981954567,2020-07-03 11:11:48,ModinatOdesanya,1,1,Appreciate always Prices food cheaper farmers encouraged
259,1274668533100826624,2020-06-21 11:40:35,ModinatOdesanya,0,0,A food thought people understanding
335,1250514114876710914,2020-04-15 19:59:33,ModinatOdesanya,1,0,In case 're thinking invest pandemic consider food food related investment cons
349,1250151001954422786,2020-04-14 19:56:40,ModinatOdesanya,0,0,Have two families really need food stuffs I ca n't reach
948,1271065574672646145,2020-06-11 13:03:42,jamesmacharia2,2,0,CS Yatani I allocated Ksh b food security
980,1271052070053908485,2020-06-11 12:10:03,jamesmacharia2,0,0,gvt allocated b hire ministry health affected household thro provision food
1202,1269972582662574086,2020-06-08 12:40:33,jamesmacharia2,0,0,Leaving ready made food go till eat harvest done The storm wipe crops
123,1254387913384767488,2020-04-26 12:32:38,silas_ekal,1947,0,The brain naturally craves things Food Sex Water Sleep
1780,1260956033826148356,2020-05-14 15:32:00,Kamaulisbeth,1,0,UN Acute food shortages worldwide may double due COVID-19
1804,1260955059598303234,2020-05-14 15:28:08,Kamaulisbeth,1,0,COVID-19 Africa Media Briefing Insights personal protective equipment PPE emergency food aid virus
1808,1260954989884825603,2020-05-14 15:27:51,Kamaulisbeth,1,0,Climate change threatens many world 's foods.4 foods likely suffer climate change
1813,1260954907131207680,2020-05-14 15:27:31,Kamaulisbeth,1,0,Building Africas resilience sustainable food security post-COVID-19
1826,1260954576506753030,2020-05-14 15:26:13,Kamaulisbeth,2,0,Food thought The coronavirus reminds us growing problem
1867,1260953365380505600,2020-05-14 15:21:24,Kamaulisbeth,53,0,Tips maintaining Eat variety food groupsEat fruits amp veggiesOpt whole grains nuts amp healthy fats
1924,1260951857482084352,2020-05-14 15:15:24,Kamaulisbeth,2,0,Upcycling food means less
1961,1260950564667568130,2020-05-14 15:10:16,Kamaulisbeth,2,0,How online ordering could cut food waste
1963,1260950533147447300,2020-05-14 15:10:09,Kamaulisbeth,3,0,COVID-19 disrupting food industry already thrown turmoil climate change https
279,1271341139480756224,2020-06-12 07:18:42,Misterkolade,8,0,Are young entrepreneur fresh ideas cutting edge technology Agrifood business potential grow
284,1269659219969617927,2020-06-07 15:55:21,Misterkolade,5,0,FOOD SAFETY IS EVERYONE 'S BUSINESS.cc Food Safety Day calls action Team u
287,1269643002470940672,2020-06-07 14:50:55,Misterkolade,15,0,From farmer 's field dinning table role play order ensure food safe beca
288,1269641368059740161,2020-06-07 14:44:25,Misterkolade,2,0,The MIT Solve community looking technology-based solutions low-carbon global food system provides nu
292,1267844701635444737,2020-06-02 15:45:06,Misterkolade,4,6,Without value addition food future secured committed adding value agr
295,1267725943818407937,2020-06-02 07:53:12,Misterkolade,54,0,Agriculture reduce poverty food insecurity Small farms great potential They Provide food Create new
303,1267054244676407296,2020-05-31 11:24:07,Misterkolade,7,38,As part effort ensure quality safe food production increased employment opportunites
308,1266691644478324736,2020-05-30 11:23:16,Misterkolade,19,0,Join passionate farmers scientists communicators across world talk food systems rural far
94,1274235732085952512,2020-06-20 07:00:47,FAOKenya,8,21,right food With amp ensure Kalobeyei
95,1273232778222604288,2020-06-17 12:35:24,FAOKenya,17,25,amp economic disruption exposed fragilities food amp ecosystems threatening
112,1263771562634772480,2020-05-22 09:59:54,FAOKenya,16,32,From air breathe food eat water drink biodiversity amp healthy ecosystems lifeline
117,1262618064899760130,2020-05-19 05:36:19,FAOKenya,44,0,FAO committed transforming food systems make climate-smart resilient amp biodiversity-friendly I told UN CEB Alon
118,1262361587014393856,2020-05-18 12:37:10,FAOKenya,11,0,Germany stands Kenya region fight food insecurity also fighting We increased suppor
119,1262348761424179201,2020-05-18 11:46:12,FAOKenya,13,0,Denmark committed fight food insecurity With amp member states weve provided
130,1257211471152504834,2020-05-04 07:32:27,FAOKenya,24,51,Groundnut production trials underway Turkana This part creating resilient food systems
198,1278247247797456897,2020-07-01 08:41:07,ASARECA,457,0,Without plants would lose food eat means Food securityFarmers livelihoods A healthy e
211,1272849061738090496,2020-06-16 11:10:39,ASARECA,3,0,Calling sector Please apply comprehensive -month program food processin
227,1271052560967905282,2020-06-11 12:12:00,ASARECA,3,0,Africa second-most populous continent need food continent world However Climate cha
236,1270604191371796482,2020-06-10 06:30:20,ASARECA,9,0,Life without food Is like tree without root.Life without food Is like bad dream come true.Our countrys pride hid
239,1270260898482003976,2020-06-09 07:46:13,ASARECA,9,20,Life without food Is like tree without root.Life without food Is like bad dream come true.Our countrys p
250,1269192990448287745,2020-06-06 09:02:44,ASARECA,8,0,Innovations amp Ideas The MIT Solve community looking tech-based solutions low-carbon global food system tha
252,1268881121984557061,2020-06-05 12:23:28,ASARECA,1,1,The foods eat air breathe water drink climate makes planet habitable come f
281,1265907215103340545,2020-05-28 07:26:14,ASARECA,3,4,Cassava food crop also feed industrial crop We must
305,1262625401840504833,2020-05-19 06:05:28,ASARECA,17,0,Can growing trees farms make difference Check highlights Trees Food Security project implemented
309,1261180318926635008,2020-05-15 06:23:14,ASARECA,16,0,`` Strengthening resilience smallholder communities critical guaranteeing food security present futur
317,1260020355906691073,2020-05-12 01:33:57,ASARECA,9,0,Could looming amid warned number food-insecure people
319,1260020288588148743,2020-05-12 01:33:41,ASARECA,1,0,Working collaboratively region allow food move production zones areas surplus areas deficiency c
322,1258640021566808064,2020-05-08 06:09:00,ASARECA,1,0,Working collaboratively region allow food move production zones areas surplus areas de
324,1258386862181400578,2020-05-07 13:23:02,ASARECA,3,5,Increased efforts needed ensure food value chains function well prom
330,1257608009372569602,2020-05-05 09:48:09,ASARECA,9,7,Could looming amid warned number food-insecur
337,1257220840015486976,2020-05-04 08:09:40,ASARECA,0,1,projects number food-insecure people East Africa likely increase millio
358,1255759225516707840,2020-04-30 07:21:44,ASARECA,3,0,Alas wake call Africa amp food systems Traditionally Agroecology practices sharing seeds mostly
362,1255072985846857728,2020-04-28 09:54:52,ASARECA,33,0,What Africa agriculture determine future food Food Security world worlds uncu
363,1255071778122207233,2020-04-28 09:50:04,ASARECA,10,0,Food supply chains worldwide risk disruption coming year Executive Director explains
386,1254345537308053504,2020-04-26 09:44:15,ASARECA,6,0,natural resources food Africa
430,1247074312227618816,2020-04-06 08:11:00,ASARECA,0,1,Countries must work together region allow food move production zones amp areas surplus areas
416,1276435196909404167,2020-06-26 08:40:40,MemorialParkKe,8,0,Our Simba Foundation arm partnership continues drive distribute food essential items We
569,1266755580569497601,2020-05-30 15:37:20,MemorialParkKe,6,16,Earlier today team Hospital Ward B Village families got redeemable food vouche
575,1266261954345070593,2020-05-29 06:55:50,MemorialParkKe,14,0,Today I joined team distribute non-food items households affected floods Kirinyaga county
577,1266261844466884614,2020-05-29 06:55:24,MemorialParkKe,6,0,Today LVCT Health Western team led Regional Director Dr. Philip Masaulo distributed foodstuff girls whos
598,1265562778410123264,2020-05-27 08:37:34,MemorialParkKe,0,0,Using food vouchers means greater impact community It means supporting local businesses maintaining
602,1265561141037629441,2020-05-27 08:31:03,MemorialParkKe,5,0,If even food eat would soap one many medical amp humanitarian
637,1263805051287502848,2020-05-22 12:12:59,MemorialParkKe,9,0,Distribution household items Watiti Wajir North families affected floods.Food items also
647,1263406916375625728,2020-05-21 09:50:56,MemorialParkKe,3,0,We call well-wishers give donations money foodstuff Your donation go along way saving lives p
648,1263406897211867136,2020-05-21 09:50:51,MemorialParkKe,13,0,Our Executive Director dispatched foodstuff donated LVCT Health staff vulnerable beneficiaries
668,1262284069318074369,2020-05-18 07:29:08,MemorialParkKe,3,11,This weekend team Mlango Kubwa giving redeemable food vouchers masks fa
673,1262008200007766016,2020-05-17 13:12:56,MemorialParkKe,17,0,Earlier today Mlango Kubwa Mathare supported Families redeemable food vouchers supporting local shopke
684,1261579850630017025,2020-05-16 08:50:50,MemorialParkKe,0,1,We proud honoured associated Sue Mathare Food Drive
687,1261270126323798017,2020-05-15 12:20:06,MemorialParkKe,28,0,The pandemic increasing threat malnutrition amp food insecurity Many low-income households un
690,1261270026780368896,2020-05-15 12:19:42,MemorialParkKe,7,0,Help needy Kenyan family purchasing Okoa Jamii bundle powered Twiga Foods SHOFCO urban network Jumia
729,1260092676730507264,2020-05-12 06:21:20,MemorialParkKe,98,0,As respond also providing food shelter life-saving support children families livi
733,1259790922784673792,2020-05-11 10:22:16,MemorialParkKe,8,0,Over weekend friends joined team distribution food packs donated days ago
756,1259173658787971075,2020-05-09 17:29:29,MemorialParkKe,2,5,Today families Huruma Ward Mathare got redeemable food vouchers masks thanks donations Kudos
757,1259173462008049669,2020-05-09 17:28:42,MemorialParkKe,7,0,Today team Huruma providing families redeemable food vouchers helped using g
787,1258308643151384576,2020-05-07 08:12:13,MemorialParkKe,3,0,Mathare Food Drive already given food families set receive food coming Saturday Have
819,1256652632455815168,2020-05-02 18:31:49,MemorialParkKe,11,0,Today using redeemable food voucher system supported Families Kiamaiko Mathare local shopkeepers
825,1255821747514998787,2020-04-30 11:30:11,MemorialParkKe,3,8,Your donations n't go waste We give food vouchers used buy supplies local businesses T
860,1254667361279447040,2020-04-27 07:03:04,MemorialParkKe,3,6,This weekend team Bondeni Mabatini area supporting Families redeemable Food Vouchers led
885,1253272021833744384,2020-04-23 10:38:29,MemorialParkKe,4,7,We started weekly food drive target families 've expanded Through foo
922,1252261131726577664,2020-04-20 15:41:34,MemorialParkKe,4,0,Listen podcast information Mathare food drive
951,1251064449454215169,2020-04-17 08:26:23,MemorialParkKe,29,0,Food distribution Kawangware support vulnerable families struggling put food tables difficult
963,1249611120270290946,2020-04-13 08:11:22,MemorialParkKe,1,1,To get regular updates Mathare Food Drive else support drive reach us par
969,1249607331811393536,2020-04-13 07:56:19,MemorialParkKe,0,1,If would like support weekly Mathare Food Drive check Mchanga campaign
970,1249606608801468418,2020-04-13 07:53:26,MemorialParkKe,23,0,This Saturday another Families receive redeemable food vouchers Mathare Join movement support one family
971,1249606379293335552,2020-04-13 07:52:32,MemorialParkKe,0,0,At center food drive ensuring local economies supported people feel valued see
972,1249605885598580737,2020-04-13 07:50:34,MemorialParkKe,0,0,More images Saturday 's food distribution
973,1249605637996253184,2020-04-13 07:49:35,MemorialParkKe,0,0,The Mathare Food Drive team keep refining model ensure safety people remains paramount
974,1249605241001164803,2020-04-13 07:48:00,MemorialParkKe,0,0,The voucher system community sensitization ensures members get food also valuable lessons
975,1249604861555064832,2020-04-13 07:46:30,MemorialParkKe,0,0,The ongoing weekly Mathare Food Drive food distribution well coordinated centers people taking account
978,1249603053956878339,2020-04-13 07:39:19,MemorialParkKe,0,0,The Mathare Food Drive Team introduced voucher system supports local economies purchasing food items fro
979,1249602425977257989,2020-04-13 07:36:49,MemorialParkKe,6,10,Images last Saturday 's food distribution Mathare This nd distribution coordinated Mathare
980,1249600481091096577,2020-04-13 07:29:05,MemorialParkKe,5,0,Remember support ongoing Mchanga based Mathare Food Drive campaign give dry cereals reach
1068,1247121205095739392,2020-04-06 11:17:20,MemorialParkKe,0,0,Thus started campaign dubbed Mathare Food Drive Each week hope organization col
1075,1247075668678057985,2020-04-06 08:16:23,MemorialParkKe,28,0,In addition distributing food also sharing life saving messages graffiti paintings people li
1091,1247065532613918720,2020-04-06 07:36:06,MemorialParkKe,0,0,Through Peacebuilders arm launching Mathare Food Drive take place every week support
1092,1247063693193613312,2020-04-06 07:28:48,MemorialParkKe,1,0,Today officially launch 'Mathare Weekly Food Drive partnership keunites
2266,1272604451581329410,2020-06-15 18:58:39,HonDomey,52,0,Isiolo County Governor stood prisoners period Corona distributing foodstuffs b
2514,1270664609687535617,2020-06-10 10:30:25,HonDomey,2,0,Some residents Juja Kiambu county resorted selling house items bid buy food settle
2658,1269315764219191296,2020-06-06 17:10:35,HonDomey,278,0,Another Days without Any Offerings Dear President Fellow Kenyans n't Food A Revolution Now Let
2785,1268542634521497600,2020-06-04 13:58:27,HonDomey,27,0,Magufuli blasts GoK stupid lockdown warns Tanzanians selling foodstuff Kenya Should sell say
3036,1266937767386402817,2020-05-31 03:41:16,HonDomey,993,0,Across city people showing other.Whether passing food fire extinguishers mutual aid supplie
3159,1265716748441001984,2020-05-27 18:49:23,HonDomey,682,0,Atwoli talking politics lives poor Kenyan workers jobless hawking food
293,1259827607203229697,2020-05-11 12:48:02,NiringiyeDeus,201,0,URGENT .... looking project manager coordinate food grain silos plant one largest region ... masters
36,1277301814266912768,2020-06-28 18:04:18,HamisiWilliams,5,19,A weekend well spent distributing fortified food vulnerable sub locations Karungu Div court
40,1269300493634895873,2020-06-06 16:09:54,HamisiWilliams,5,11,And away locusts floods ave also upto food safety manenos Join tomorrow eveni
48,1260875421589090305,2020-05-14 10:11:41,HamisiWilliams,33,0,Following spread Desert Locust DL precipitated serious threat food security community livelihoods tod
50,1259920263573094400,2020-05-11 18:56:13,HamisiWilliams,145,0,FAO makes gains fight East Africa Yemen threat food security crisis remains
53,1257031554456588288,2020-05-03 19:37:31,HamisiWilliams,1,7,The food security situation The ship steady
1212,1271346372302831617,2020-06-12 07:39:30,Miss_Kimemia,0,0,Food security
962,1278922416853581825,2020-07-03 05:24:00,N8Kwa,5,0,Food thought John Maxwell end week Growth stops lose tension whe
1009,1273515387045502976,2020-06-18 07:18:23,N8Kwa,6,0,Lack access adequate food Kenyan slums major challenge especially prevalence In
1037,1271411487882596352,2020-06-12 11:58:15,N8Kwa,3,0,The world stands brink food crisis worse seen least years UN warned urging gove
1136,1262995280816939015,2020-05-20 06:35:14,N8Kwa,2,0,COVID-19 amplifying risk worldwide food-price spike How prevent food crisis
1251,1247796460898283520,2020-04-08 08:00:33,N8Kwa,4,0,Food For Thought Instagram cooking show targets food waste Italy lockdown
780,1275821628367212549,2020-06-24 16:02:34,muindi_elijah,50,0,I 've moved around country distributing food children affected lockdown I 've found reports foreign char
800,1273620118078185472,2020-06-18 14:14:33,muindi_elijah,54,0,I 've arrived Kitembo I 'm going donate food children affected lockdown This brings number
70,1258265816581144576,2020-05-07 05:22:02,SUN_CSA_KENYA,4,0,`` Gardens connect people source food They connect nature food systems ''
73,1257544196292034560,2020-05-05 05:34:35,SUN_CSA_KENYA,7,0,RT Understanding COVID-19 major threats poses global food security absolutely critical
74,1256875889176072192,2020-05-03 09:18:58,SUN_CSA_KENYA,2,3,`` Join us discuss build strong immunity food take period ''
76,1253966062565167110,2020-04-25 08:36:21,SUN_CSA_KENYA,1,6,`` Planning food stock COVID-19 Ensure variety nutritive foods support strengthening imm
502,1247796338688835585,2020-04-08 08:00:04,inspire_by,4,0,Food For Thought Instagram cooking show targets food waste Italy lockdown
263,1276944190325350401,2020-06-27 18:23:14,_Martinez_KE,10,0,`` We ca n't produce food without pesticides The petition cause food security crisis '' The petition Parliamen
357,1274769883721601024,2020-06-21 18:23:19,_Martinez_KE,97,0,wedding ceremony maths papers distributed fail food
436,1270739914049703937,2020-06-10 15:29:39,_Martinez_KE,2,0,Food Science Technology graduates employed local international food manufacturing industries food standards
438,1270739567700828160,2020-06-10 15:28:16,_Martinez_KE,6,0,Food Science Technology programme seeks produce competent food scientists technologists
452,1269601899579408385,2020-06-07 12:07:35,_Martinez_KE,11,0,The government prepares food business operators manufacture safe food Robert Kilonzo
453,1269601823855390721,2020-06-07 12:07:17,_Martinez_KE,15,0,A lot Kenyans access raw food open air markets ensure food safe Dr. Charles Ochodo Most su
454,1269601475157790720,2020-06-07 12:05:54,_Martinez_KE,4,0,How ensure handle sell amp consume safe food amidst pandemic
455,1269601158018084865,2020-06-07 12:04:38,_Martinez_KE,138,0,Unsafe food containing harmful bacteria viruses parasites chemical substances cause diseases Vendors markets/r
456,1269598913809563650,2020-06-07 11:55:43,_Martinez_KE,2,0,`` transmitted vegetables many foodborne illnesses Good food hygiene
